Timestamp,Name,Intake To,Breed,Color,Sex,Age,Dob (If Available),Weight,Intake From,Dog Friendly,Kid Friendly,Cat Friendly,Other Notes,Petfinder Link,Email Address,Status,Color Category,Primary Breed,Breed Group,Intake To Category,Days In Rescue,Intake Month,Age Group,Weight Group,Intake Source Type,Data Completeness %,LOS Bucket,Dog ID
2024-12-12 11:05:44,Porter,Adopted,Boxer Mix,White,Male,5.0,,75.0,Rescue Situation,Yes,Yes,Unsure,,,,Adopted,White,Boxer,Working,Adopted,,2024-12,Adult,XL,Rescue Transfer,83.33333333333334,Historical,DOG-0044
2024-12-12 11:21:45,Victor,Adopted,Lab Mix,Black And White,Male,6.0,,47.0,Bell County,Yes,Yes,Unsure,,,,Adopted,Black,Other,Other,Adopted,,2024-12,Adult,Medium,County Shelter,83.33333333333334,Historical,DOG-0045
2024-12-12 11:30:05,Gnocci,Adopted,Lab Mix,Silver,Female,1.0,,49.0,Bell County,Yes,Unknown,Unsure,,,,Adopted,Silver,Other,Other,Adopted,,2024-12,Young Adult,Medium,County Shelter,83.33333333333334,Historical,DOG-0046
2024-12-12 10:42:50,Oreo,Adopted,Lab Mix,Black And White,Female,3.0,,45.0,Bell County,Yes,Yes,Unsure,,,https://www.petfinder.com/dog/coco-save-2-lives-by-rescuing-one-71153128/ky/lancaster/kentucky-saving-them-together-inc-ky535/,Adopted,Black,Other,Other,Adopted,,2024-12,Adult,Medium,County Shelter,83.33333333333334,Historical,DOG-0047
2025-02-04 16:00:56,Shep,Adopted,Border Collie Mix,Black And White,Male,3.0,,46.0,Bell County,Yes,Unknown,Unsure,,,,Adopted,Black,Border Collie,Herding,Adopted,,2025-02,Adult,Medium,County Shelter,83.33333333333334,Historical,DOG-0048
2024-12-12 11:27:18,Bear,Adopted,German Pincher Mix,Black And Tan,Male,1.0,,30.0,Bell County,Yes,Unknown,Unsure,,,https://www.petfinder.com/dog/bear-saving-2-lives-by-rescuing-one-74330944/ky/lancaster/kentucky-saving-them-together-inc-ky535/,Adopted,Black,Other,Other,Adopted,,2024-12,Young Adult,Medium,County Shelter,83.33333333333334,Historical,DOG-0049
2024-12-12 12:03:36,Charger,Adopted,Lab Mix,Brown And Silver,Male,1.0,,65.0,Bell County,Yes,Unknown,Unsure,,,https://www.petfinder.com/dog/charger-saving-2-lives-by-rescuing-one-74332438/ky/lancaster/kentucky-saving-them-together-inc-ky535/,Adopted,Brown,Other,Other,Adopted,,2024-12,Young Adult,Large,County Shelter,83.33333333333334,Historical,DOG-0050
2025-03-03 11:45:24,Gertie,Adopted,Staffy Aussie Mix,Black And White,Female,4.0,,35.0,Jennifer,Yes,Yes,Unsure,,,,Adopted,Black,Other,Other,Adopted,,2025-03,Adult,Medium,Other,83.33333333333334,Historical,DOG-0051
2025-02-17 12:59:27,Eden,Adopted,Gsd Mix,Black And Brown,Female,0.75,,25.0,Bell County,Yes,Yes,Unsure,Dog selective/pregnant,,,Adopted,Black,Other,Other,Adopted,,2025-02,Puppy,Medium,County Shelter,83.33333333333334,Historical,DOG-0052
2025-03-28 14:12:02,Clarabelle,Adopted,Pit Mix,Black And White,Female,,,14.0,Bell County,Yes,Yes,Unsure,,,,Adopted,Black,Pit Bull,Terrier,Adopted,,2025-03,Unknown,Small,County Shelter,66.66666666666666,Historical,DOG-0053
2024-12-12 10:35:07,Patterson,Adopted,Jack Russell Mix,Tan And White,Male,5.0,,40.0,Knox-Whitley,Yes,No,Unsure,,,https://www.petfinder.com/dog/patterson-save-2-lives-by-rescuing-one-72597028/ky/lancaster/kentucky-saving-them-together-inc-ky535/,Adopted,Tan,Other,Other,Adopted,,2024-12,Adult,Medium,Other,83.33333333333334,Historical,DOG-0054
2025-03-28 14:14:04,Mickey,Adopted,Pit Mix,Black And White,Male,,,13.0,Bell County,Yes,Yes,No,,,,Adopted,Black,Pit Bull,Terrier,Adopted,,2025-03,Unknown,Small,County Shelter,66.66666666666666,Historical,DOG-0055
2025-02-17 12:50:04,Krypto,Adopted,Heeler Mix,White,Male,0.33,,10.0,Bell County,Yes,Yes,Yes,Puppy,,,Adopted,White,Other,Other,Adopted,,2025-02,Puppy,Small,County Shelter,83.33333333333334,Historical,DOG-0056
2025-01-21 09:55:47,Romeo,Adopted,Bully Mix,White,Male,3.0,,65.0,House Rescue,Yes,Yes,Unsure,Owner gave up rights,,https://www.petfinder.com/dog/romeo-74865670/ky/lancaster/kentucky-saving-them-together-inc-ky535/,Adopted,White,Bully,Terrier,Adopted,,2025-01,Adult,Large,Rescue Transfer,83.33333333333334,Historical,DOG-0057
2025-01-10 11:47:46,Stella,Adopted,Pit Mix,Tan And White,Female,4.0,,42.0,Knox-Whitley,Yes,Yes,Yes,,,,Adopted,Tan,Pit Bull,Terrier,Adopted,,2025-01,Adult,Medium,Other,83.33333333333334,Historical,DOG-0058
2025-03-28 14:11:01,Goofy,Adopted,Pit Mix,Black And White,Male,,,12.0,Bell County,Yes,Yes,Unsure,,,,Adopted,Black,Pit Bull,Terrier,Adopted,,2025-03,Unknown,Small,County Shelter,66.66666666666666,Historical,DOG-0059
2025-02-04 15:59:45,Hank,Adopted,Hound Mix,Brown And Tan,Male,2.0,,75.0,Bell County,Yes,Yes,Unsure,,,,Adopted,Brown,Hound,Hound,Adopted,,2025-02,Young Adult,XL,County Shelter,83.33333333333334,Historical,DOG-0060
2024-12-12 11:28:59,Odin,Adopted,Lab Mix,Black,Male,6.0,,46.0,Bell County,Yes,Unknown,Unsure,,,https://www.petfinder.com/dog/odin-saving-2-lives-by-rescuing-one-74331081/ky/lancaster/kentucky-saving-them-together-inc-ky535/,Adopted,Black,Other,Other,Adopted,,2024-12,Adult,Medium,County Shelter,83.33333333333334,Historical,DOG-0061
2025-02-04 15:59:45,Hank,Adopted,Hound Mix,Brown And Tan,Male,2.0,,75.0,Bell County,Yes,Yes,Unsure,,,,Adopted,Brown,Hound,Hound,Adopted,,2025-02,Young Adult,XL,County Shelter,83.33333333333334,Historical,DOG-0062
